degree,ccdf
1,1.0
2,0.6485267588695129
3,0.34572309079975944
4,0.26195129284425733
5,0.21861846061334936
6,0.18941671677690924
7,0.17085087191822013
8,0.1558929645219483
9,0.14397925435959105
10,0.13480907997594704
11,0.12661605532170772
12,0.12026458208057726
13,0.11458959711365
14,0.10944076969332533
15,0.10470535177390261
16,0.10049609140108236
17,0.09654990980156343
18,0.09320505111244744
19,0.09061184606133496
20,0.08816897173782318
21,0.08535027059530968
22,0.08317047504509918
23,0.0806524353577871
24,0.07866055321707756
25,0.07681900180396875
26,0.07448887552615752
27,0.07238424533974741
28,0.07031719783523749
29,0.06832531569452796
30,0.0666340950090199
31,0.06524353577871322
32,0.0638153938665063
33,0.06234966927239927
34,0.061785929043896626
35,0.06039536981358992
36,0.05938063740228501
37,0.05814040889957911
38,0.056749849669272406
39,0.055735117257967516
40,0.05479555021046305
41,0.0539687312086591
42,0.05284125075165362
43,0.05201443174984965
44,0.05122519542994588
45,0.05009771497294046
46,0.04930847865303672
47,0.04855682501503306
48,0.047955502104630225
49,0.04720384846662658
50,0.04667769092002409
51,0.045850871918220105
52,0.044911304870715596
53,0.04419723391461217
54,0.04355832832230905
55,0.04288184004810582
56,0.04246843054720385
57,0.04197985568250154
58,0.04164161154539989
59,0.04126578472639803
60,0.04066446181599522
61,0.04021346963319297
62,0.03987522549609137
63,0.03946181599518947
64,0.03908598917618757
65,0.03867257967528562
66,0.03833433553818395
67,0.037808177991581454
68,0.03746993385447987
69,0.03728202044497894
70,0.03690619362597711
71,0.03660553217077569
72,0.036192122669873726
73,0.035778713168971764
74,0.035365303668069795
75,0.0348767288033674
76,0.034275405892964496
77,0.03404990980156346
78,0.033861996392062534
79,0.03363650030066149
80,0.03337342152736014
81,0.03303517739025854
82,0.03262176788935664
83,0.03224594107035479
84,0.0317197835237522
85,0.031607035478051694
86,0.031343956704750466
87,0.03108087793144923
88,0.030742633794347572
89,0.03029164161154538
90,0.029990980156343973
91,0.029727901383042744
92,0.029464822609741467
93,0.029314491882140664
94,0.02897624774503907
95,0.028638003607937487
96,0.02845009019843661
97,0.028111846061334975
98,0.027961515333734165
99,0.02754810583283228
100,0.027397775105231476
101,0.02705953096812984
102,0.026909200240529205
103,0.026608538785327755
105,0.02653337342152733
106,0.02642062537582683
107,0.026232711966325862
108,0.026119963920625364
109,0.025932050511124443
110,0.025706554419723342
111,0.0254810583283223
112,0.02529314491882145
113,0.025255562236921193
114,0.024992483463619965
115,0.024729404690318743
116,0.024541491280817774
117,0.02442874323511728
118,0.024315995189416725
119,0.02416566446181599
120,0.024015333734215317
121,0.02390258568851477
122,0.023827420324714396
123,0.023677089597113662
124,0.023526758869512877
125,0.02341401082381238
126,0.023226097414311527
127,0.02318851473241128
128,0.023075766686710786
129,0.022963018641010177
130,0.02277510523150932
131,0.022662357185808762
132,0.022436861094407665
133,0.022286530366806997
134,0.02224894768490675
135,0.022136199639206256
136,0.02202345159350571
137,0.021948286229705332
139,0.02172279013830429
140,0.021534876728803318
141,0.0213469633193025
142,0.021046301864101
143,0.021008719182200812
144,0.02093355381840044
145,0.02078322309079971
146,0.02070805772699945
147,0.02055772699939867
148,0.020520144317498542
149,0.020482561635598296
150,0.020369813589897784
151,0.020031569452796102
152,0.019993986770895915
153,0.019918821407095597
154,0.01973090799759468
155,0.019580577269993953
156,0.019505411906193645
157,0.019467829224293458
159,0.01939266386049304
160,0.019355081178592852
161,0.019279915814792596
163,0.01920475045099223
164,0.019129585087191803
165,0.01901683704149131
166,0.018904088995790703
167,0.018791340950090215
168,0.018753758268190028
169,0.01867859290438961
170,0.01864101022248948
171,0.018603427540589294
172,0.01852826217678898
173,0.018415514131088433
174,0.018340348767288007
175,0.01822760072158746
176,0.018152435357787152
177,0.018114852675886913
178,0.018077269993986726
179,0.01800210463018636
180,0.01792693926638605
181,0.017889356584485865
182,0.01781419122068549
183,0.017663860493084823
184,0.017626277811184577
185,0.017513529765484082
186,0.01740078171978353
187,0.017250450992182854
188,0.017137702946482307
189,0.01706253758268188
190,0.016949789536981334
191,0.01687462417318102
192,0.016761876127480473
193,0.016686710763680054
194,0.016649128081779867
195,0.016573962717979604
196,0.016423631990378877
197,0.01634846662657845
198,0.016235718580877957
199,0.01612297053517741
200,0.016047805171376984
201,0.015935057125676437
202,0.015859891761876122
203,0.015747143716175575
204,0.01567197835237521
205,0.0155968129885749
206,0.015559230306674656
209,0.015446482260974167
210,0.01540889957907398
211,0.015333734215273603
213,0.015108238123872571
214,0.015070655441972385
215,0.01499549007817196
216,0.014882742032471412
217,0.014807576668671045
219,0.014732411304870678
220,0.01465724594107037
221,0.014619663259170131
222,0.014582080577269944
223,0.014506915213469578
226,0.01443174984966927
228,0.014394167167769142
229,0.014356584485868885
230,0.014093505712567674
231,0.01405592303066743
234,0.013943174984966882
235,0.013868009621166574
236,0.013830426939266335
237,0.013792844257366207
238,0.01375526157546602
239,0.013680096211665712
240,0.013642513529765473
241,0.013604930847865345
244,0.013567348165965106
245,0.013529765484064978
246,0.013492182802164734
248,0.013379434756464244
249,0.013341852074564058
250,0.01326668671076369
251,0.013191521346963324
253,0.013116355983162905
255,0.013078773301262777
258,0.013041190619362649
259,0.01300360793746241
260,0.012966025255562282
261,0.012928442573662043
263,0.012890859891761915
264,0.012853277209861728
265,0.012778111846061362
266,0.012702946482260943
270,0.012665363800360815
272,0.012627781118460576
273,0.012590198436560448
276,0.012552615754660261
279,0.012477450390859842
281,0.012439867708959655
282,0.012364702345159347
283,0.01232711966325922
284,0.01228953698135898
285,0.012251954299458793
286,0.012176788935658486
289,0.012139206253758299
290,0.01206404088995788
292,0.012026458208057693
293,0.011951292844257326
294,0.011876127480457018
299,0.01183854479855678
301,0.011800962116656592
302,0.011725796752856336
303,0.011650631389055918
305,0.01161304870715573
306,0.011537883343355364
308,0.011462717979555056
309,0.011425135297654864
310,0.011274804570054135
311,0.011199639206253716
313,0.01116205652435353
316,0.011086891160553222
317,0.011049308478652983
318,0.01101172579675285
319,0.01089897775105236
320,0.010861395069152173
323,0.010786229705351754
326,0.010748647023451567
327,0.01067348165965126
328,0.01063589897775102
331,0.010598316295850833
333,0.010523150932050526
334,0.010485568250150287
337,0.0104479855682501
338,0.010372820204449787
339,0.010260072158749297
340,0.010222489476849058
343,0.01018490679494893
351,0.010147324113048743
356,0.010072158749248324
357,0.010034576067348196
358,0.009996993385447957
360,0.00995941070354783
361,0.009921828021647585
362,0.009809079975947096
364,0.009771497294046857
366,0.009733914612146729
367,0.00969633193024649
368,0.009658749248346362
369,0.009621166566446234
370,0.009583583884545995
371,0.009546001202645808
373,0.009470835838845441
375,0.009395670475045128
377,0.009282922429344528
379,0.00924533974744434
380,0.009170174383644033
383,0.009132591701743794
385,0.009095009019843666
386,0.009057426337943427
387,0.0090198436560433
391,0.00898226097414306
392,0.008944678292242932
393,0.008907095610342804
394,0.008869512928442565
395,0.008831930246542379
397,0.00875676488274207
398,0.008719182200841832
399,0.008681599518941704
400,0.008644016837041465
403,0.008606434155141337
404,0.008568851473241098
405,0.00853126879134097
406,0.008493686109440731
408,0.008456103427540603
412,0.008418520745640364
413,0.008380938063740177
416,0.008305772699939921
420,0.008230607336139503
422,0.008193024654239316
424,0.008117859290439008
426,0.008080276608538769
427,0.008042693926638641
430,0.008005111244738402
431,0.007967528562838215
433,0.007892363199037907
434,0.007854780517137668
435,0.00781719783523754
436,0.007779615153337354
439,0.0077044497895369345
440,0.0076668671076368065
445,0.007629284425736568
446,0.00759170174383644
448,0.007554119061936312
450,0.007516536380036073
451,0.007478953698135945
452,0.007441371016235706
456,0.007403788334335578
458,0.007366205652435339
463,0.007328622970535153
465,0.007253457606734844
468,0.007215874924834605
469,0.007178292242934477
473,0.0071407095610342385
474,0.007103126879134052
476,0.007027961515333744
481,0.006990378833433505
486,0.006952796151533319
490,0.006877630787733063
491,0.006802465423932643
493,0.006764882742032515
494,0.006727300060132276
496,0.006689717378232148
520,0.006652134696331909
526,0.006614552014431781
540,0.0065769693325315425
541,0.0065393866506314145
542,0.0065018039687312285
545,0.006426638604930809
551,0.006389055923030681
554,0.006351473241130442
555,0.006313890559230314
557,0.006276307877330075
559,0.00623872519543
564,0.006163559831629633
569,0.006088394467829213
575,0.006050811785929085
578,0.0060132291040288464
584,0.0059756464221287185
586,0.00593806374022848
588,0.005900481058328352
593,0.005862898376428166
594,0.005787733012627746
599,0.005750150330727618
603,0.005712567648827432
607,0.005637402285027012
611,0.005599819603126884
617,0.005562236921226645
619,0.005524654239326517
629,0.005487071557426389
632,0.005449488875526145
650,0.0053367408298255975
651,0.005261575466025289
657,0.00522399278412505
658,0.005186410102224922
659,0.005148827420324678
665,0.005036079374624188
671,0.004998496692723949
674,0.004960914010823821
678,0.004923331328923582
680,0.004885748647023454
681,0.0048481659651232155
688,0.0048105832832230876
689,0.00477300060132296
691,0.004735417919422721
700,0.004697835237522593
703,0.004660252555622354
705,0.004622669873722226
721,0.004585087191821987
728,0.004547504509921859
729,0.00450992182802162
732,0.004472339146121492
736,0.004434756464221253
739,0.004397173782321125
744,0.004359591100420886
768,0.004322008418520758
770,0.0042844257366205195
771,0.0042468430547203916
777,0.004209260372820153
780,0.004171677690920078
784,0.004096512327119658
789,0.004058929645219472
806,0.003983764281419163
858,0.003946181599518924
872,0.003908598917618796
878,0.0038710162357185576
892,0.003833433553818371
893,0.003758268190018063
912,0.003720685508117824
918,0.003683102826217696
924,0.003645520144317457
935,0.003607937462417329
940,0.00357035478051709
954,0.0035327720986169622
956,0.0034951894167167233
963,0.0034576067348165954
972,0.0034200240529164675
1002,0.0033824413710162285
1026,0.0033448586891161006
1092,0.0033072760072158616
1133,0.0032696933253157337
1136,0.0032321106434154948
1140,0.003194527961515367
1154,0.003156945279615128
1156,0.003119362597715
1166,0.003081779915814761
1217,0.003044197233914633
1225,0.003006614552014394
1230,0.0029690318701142662
1239,0.0029314491882140273
1240,0.0028938665063138994
1274,0.0028562838244136604
1275,0.0028187011425135325
1290,0.0027811184606134046
1293,0.0027435357787131596
1315,0.002630787733012671
1316,0.002593205051112432
1323,0.002555622369212304
1335,0.002518039687312065
1425,0.002480457005411937
1435,0.002442874323511698
1452,0.0024052916416115702
1457,0.0023677089597113313
1479,0.002330126277811145
1550,0.0022549609140108365
1588,0.0022173782321105976
1597,0.0021797955502104696
1608,0.0021422128683102307
1611,0.0021046301864101552
1619,0.002029464822609736
1629,0.001991882140709608
1633,0.001954299458809369
1659,0.001916716776909241
1687,0.0018791340950090022
1721,0.0018415514131088742
1862,0.0018039687312086353
1871,0.0017663860493085074
1961,0.0017288033674082684
2014,0.0016912206855081405
2045,0.0016536380036079015
2055,0.0016160553217077736
2096,0.0015784726398075347
2111,0.0015408899579074068
2194,0.0015033072760071678
2258,0.0014657245941070399
2295,0.001428141912206801
2303,0.001390559230306673
2370,0.001352976548406545
2465,0.0013153938665063061
2538,0.0012778111846061782
2545,0.0012402285027059393
2603,0.0012026458208058114
2635,0.0011650631389055724
2671,0.0011274804570054445
2740,0.0010898977751052055
2785,0.0010523150932050776
2786,0.0010147324113048387
2831,0.0009771497294047107
2986,0.0009395670475044718
3113,0.0009019843656043439
3168,0.0008644016837041049
3264,0.000826819001803977
3304,0.0007892363199037381
3338,0.0007516536380036101
3421,0.0007140709561034822
3601,0.0006764882742032433
3888,0.0006389055923031154
3896,0.0006013229104028764
4094,0.0005637402285027485
4117,0.0005261575466025095
4364,0.0004885748647023816
4995,0.00045099218280214267
5014,0.00041340950090201474
5318,0.0003758268190017758
5699,0.0003382441371016479
6607,0.00030066145520140893
7016,0.000263078773301281
8149,0.00022549609140104206
8286,0.00018791340950091414
8299,0.0001503307276006752
9717,0.00011274804570054727
14901,7.516536380030832e-05
35358,3.75826819001804e-05
