country_x,percentile,value,iso3,country_y,gdp_pc_ppp,pop,avg_income,ln_inc,weight,rho_eff,ln_rho_eff
AD,p0p10,0.0027,AND,Andorra,63913.3835079105,79705.0,1725.6613547135837,7.4533656500256065,7970.5,0.0014294656776345782,-6.5504545565394166
AD,p10p20,0.0218,AND,Andorra,63913.3835079105,79705.0,13933.117604724488,9.542023846810366,7970.5,0.01616627501788137,-4.124827995698316
AD,p20p30,0.0398,AND,Andorra,63913.3835079105,79705.0,25437.52663614838,10.143980789305715,7970.5,0.24142242497038002,-1.4212070791469775
AD,p30p40,0.0533,AND,Andorra,63913.3835079105,79705.0,34065.833409716295,10.43605020818712,7970.5,0.24142242497038002,-1.4212070791469775
AD,p40p50,0.0664,AND,Andorra,63913.3835079105,79705.0,42438.48664925257,10.65581093349771,7970.5,0.24142242497038002,-1.4212070791469775
AD,p50p60,0.0811,AND,Andorra,63913.3835079105,79705.0,51833.75402491542,10.85579683813669,7970.5,0.24142242497038002,-1.4212070791469775
AD,p60p70,0.0991,AND,Andorra,63913.3835079105,79705.0,63338.1630563393,11.056243318351266,7970.5,0.24142242497038002,-1.4212070791469775
AD,p70p80,0.1219,AND,Andorra,63913.3835079105,79705.0,77910.41449614288,11.263314913502548,7970.5,0.24142242497038002,-1.4212070791469775
AD,p80p90,0.1567,AND,Andorra,63913.3835079105,79705.0,100152.27195689575,11.514447026377297,7970.5,0.24142242497038002,-1.4212070791469775
AD,p90p100,0.3571,AND,Andorra,63913.3835079105,79705.0,228234.69250674837,12.338129731615725,7970.5,0.24142242497038002,-1.4212070791469775
AE,p0p10,0.002,ARE,United Arab Emirates,70075.6300053372,10074977.0,1401.512600106744,7.245307361008057,1007497.7000000001,0.0011531987170276814,-6.765215704733007
AE,p10p20,0.0159,ARE,United Arab Emirates,70075.6300053372,10074977.0,11142.025170848614,9.318479289674297,1007497.7000000001,0.011730948683463693,-4.445524742906474
AE,p20p30,0.0264,ARE,United Arab Emirates,70075.6300053372,10074977.0,18499.96632140902,9.825524190600381,1007497.7000000001,0.026581687983978974,-3.6275327219204065
AE,p30p40,0.0337,ARE,United Arab Emirates,70075.6300053372,10074977.0,23615.487311798635,10.069658017806427,1007497.7000000001,0.05622789099810743,-2.878342364084116
AE,p40p50,0.0512,ARE,United Arab Emirates,70075.6300053372,10074977.0,35878.72256273265,10.487899712493574,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AE,p50p60,0.0636,ARE,United Arab Emirates,70075.6300053372,10074977.0,44568.100683394456,10.704773650794188,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AE,p60p70,0.0765,ARE,United Arab Emirates,70075.6300053372,10074977.0,53607.856954082956,10.889450921280602,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AE,p70p80,0.0946,ARE,United Arab Emirates,70075.6300053372,10074977.0,66291.54598504899,11.101817656505943,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AE,p80p90,0.1441,ARE,United Arab Emirates,70075.6300053372,10074977.0,100978.9828376909,11.522667683453587,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AE,p90p100,0.4921,ARE,United Arab Emirates,70075.6300053372,10074977.0,344842.1752562643,12.750842128320043,1007497.7000000001,0.24142242497038002,-1.4212070791469775
AF,p0p10,0.0031,AFG,Afghanistan,1981.71016810561,40578842.0,61.433015211273904,4.117947397664481,4057884.2,4.9205684880315737e-05,-9.919501394793096
AF,p10p20,0.0247,AFG,Afghanistan,1981.71016810561,40578842.0,489.48241152208567,6.193348529807312,4057884.2,0.00039539201417071457,-7.835632844268553
AF,p20p30,0.0418,AFG,Afghanistan,1981.71016810561,40578842.0,828.3548502681449,6.719441625704091,4057884.2,0.0006736843066834641,-7.302748944489749
AF,p30p40,0.0504,AFG,Afghanistan,1981.71016810561,40578842.0,998.7819247252274,6.906536461250703,4057884.2,0.0008150924849349428,-7.1122089727138205
AF,p40p50,0.0579,AFG,Afghanistan,1981.71016810561,40578842.0,1147.410187333148,7.04526267075233,4057884.2,0.0009392191752207735,-6.970461692552036
AF,p50p60,0.0694,AFG,Afghanistan,1981.71016810561,40578842.0,1375.3068566652935,7.226432153686139,4057884.2,0.0011310267108955996,-6.784629465066378
AF,p60p70,0.0905,AFG,Afghanistan,1981.71016810561,40578842.0,1793.447702135577,7.491895136879261,4057884.2,0.0014877154413460714,-6.510513596513628
AF,p70p80,0.108,AFG,Afghanistan,1981.71016810561,40578842.0,2140.246981554059,7.6686765132976005,4057884.2,0.001788358391094702,-6.326457179870016
AF,p80p90,0.1442,AFG,Afghanistan,1981.71016810561,40578842.0,2857.6260624082893,7.957746511024229,4057884.2,0.002424709220457566,-6.022043670872024
AF,p90p100,0.4101,AFG,Afghanistan,1981.71016810561,40578842.0,8126.993399401106,9.002946318571395,4057884.2,0.007832380250015536,-4.849488824113337
AG,p0p10,0.0013,ATG,Antigua and Barbuda,27941.7851474762,92840.0,363.24320691719055,5.895072601428153,9284.0,0.0002926835302839992,-8.136418634096906
AG,p10p20,0.0124,ATG,Antigua and Barbuda,27941.7851474762,92840.0,3464.7813582870485,8.150404809571652,9284.0,0.002979276193358804,-5.816074896101553
AG,p20p30,0.0269,ATG,Antigua and Barbuda,27941.7851474762,92840.0,7516.340204671098,8.924834623568456,9284.0,0.007126666135617188,-4.94391173656918
AG,p30p40,0.0427,ATG,Antigua and Barbuda,27941.7851474762,92840.0,11931.142257972338,9.38690725719524,9284.0,0.012889088902387269,-4.351374147043732
AG,p40p50,0.058,ATG,Antigua and Barbuda,27941.7851474762,92840.0,16206.235385536198,9.693151347507081,9284.0,0.020679836168072452,-3.8785961516135
AG,p50p60,0.0724,ATG,Antigua and Barbuda,27941.7851474762,92840.0,20229.85244677277,9.914914636352332,9284.0,0.032587184906491595,-3.4238361689218038
AG,p60p70,0.0853,ATG,Antigua and Barbuda,27941.7851474762,92840.0,23834.342730797198,10.078882791458295,9284.0,0.05947007667594362,-2.8222820059430664
